cpg_site,category,r_own,r_other,r_cross,own_layer,gene,dist_to_gene,pos,chr,dist_to_tss,dist_to_tss_signed,feature,in_TE,TE_class,TE_family,cluster_id
chrX_10473748,top1pcEndoOnly,0.762235665856078,0.0442055930331342,0.145756770209749,Endo,MID1,0,10473748,chrX,316772,316773,intron,FALSE,,,321
chrX_14690789,top1pcEndoOnly,0.680069344628269,0.0625207108641129,0.336401810266479,Endo,GLRA2,0,14690789,chrX,161490,161491,exon,FALSE,,,322
chrX_19640587,top1pcEndoOnly,0.561370774057954,0.276305880873802,0.144916191358641,Endo,SH3KBP1,0,19640587,chrX,125078,-125079,intron,TRUE,LTR,ERV1,323
chrX_29799022,top1pcEndoOnly,0.479093844352407,0.0141380257567426,0.31141038381488,Endo,IL1RAPL1,0,29799022,chrX,224743,224744,intron,FALSE,,,324
chrX_30374129,top1pcEndoOnly,0.920383594877893,0.103745997130918,0.0827738189373306,Endo,NR0B1,64738,30374129,chrX,64738,-64739,intergenic,FALSE,,,325
chrX_45479778,top1pcEndoOnly,0.683365527146406,0.211847296946475,0.261287620567264,Endo,LINC01204,25594,45479778,chrX,25594,-25595,intergenic,TRUE,LINE,L2,326
chrX_47084584,top1pcEndoOnly,0.59675184818914,0.194103985498498,0.299367259626025,Endo,RGN,0,47084584,chrX,6228,6229,promoter,FALSE,,,327
chrX_52246947,top1pcEndoOnly,0.559651525294017,0.265324507425635,0.0609215501208292,Endo,LOC105377209,0,52246947,chrX,19182,19183,intron,TRUE,SINE,Alu,328
chrX_66086837,top1pcEndoOnly,0.467898497528972,0.24208854780772,0.239601995689998,Endo,VSIG4,46711,66086837,chrX,46711,-46712,intergenic,FALSE,,,329
chrX_66639832,top1pcEndoOnly,0.682521907661651,0.146648750760351,0.303879596134474,Endo,EDA2R,533,66639832,chrX,533,-534,promoter,TRUE,SINE,MIR,330
chrX_70303289,top1pcEndoOnly,0.738593479816728,0.224649898135704,0.274563949108833,Endo,KIF4A,0,70303289,chrX,12774,-12775,intron,TRUE,LINE,CR1,331
chrX_78119699,top1pcEndoOnly,0.707519308677315,0.0858721787981335,0.353184687224815,Endo,PGK1,0,78119699,chrX,19455,-19456,intron,TRUE,LTR,ERVL-MaLR,332
chrX_87489343,top1pcEndoOnly,0.642851033469398,0.0462582524794507,0.396588897766359,Endo,KLHL4,28065,87489343,chrX,28065,-28066,intergenic,TRUE,SINE,tRNA,333
chrX_88018355,top1pcEndoOnly,0.832964696973943,0.166423866382659,0.469961538741966,Endo,LOC124900505,130436,88018355,chrX,130436,-130437,intergenic,FALSE,,,334
chrX_92117524,top1pcEndoOnly,0.552153054225091,0.112953489497991,0.291937440120895,Endo,PCDH11X,0,92117524,chrX,334338,-334339,intron,FALSE,,,335
chrX_103155912,top1pcEndoOnly,0.563634710096815,0.0577345404640073,0.241529993885407,Endo,BEX4,59195,103155912,chrX,59195,-59196,intergenic,TRUE,DNA,TcMar-Tigger,336
chrX_117454191,top1pcEndoOnly,0.428967258506033,0.0933453558952629,0.308868296798102,Endo,KLHL13,443621,117454191,chrX,636097,-636098,intergenic,TRUE,LINE,L1,337
chrX_121786794,top1pcEndoOnly,0.704349263283081,0.145077450889947,0.22782118978479,Endo,MIR3672,415740,121786794,chrX,415821,415822,intergenic,FALSE,,,338
chrX_125833062,top1pcEndoOnly,0.648910123905743,0.09901674496591,0.505235746794545,Endo,LOC101928495,276699,125833062,chrX,276699,-276700,intergenic,TRUE,LINE,L1,339
chrX_131200477,top1pcEndoOnly,0.560388091088284,0.27160019839263,0.449284238219145,Endo,LOC107985705,0,131200477,chrX,42708,42709,intron,TRUE,SINE,Alu,340
chrX_133812641,top1pcEndoOnly,0.687012138419905,0.281773947387164,0.0679716257141855,Endo,GPC3,0,133812641,chrX,84801,-84802,intron,FALSE,,,341
chrX_134890929,top1pcEndoOnly,0.617977451680571,0.24616888515488,0.284370030215776,Endo,MOSPD1,0,134890929,chrX,24327,24328,intron,FALSE,,,342
chrX_140679022,top1pcEndoOnly,0.92452239560219,0.200309923263112,0.0225157939699907,Endo,LOC101928833,2075,140679022,chrX,30539,-30540,intergenic,TRUE,LINE,L1,343
chrX_142933309,top1pcEndoOnly,0.734819392330556,0.105103612643234,0.418179090958258,Endo,SPANXN4,92618,142933309,chrX,92618,-92619,intergenic,FALSE,,,344
chrX_143934254,top1pcEndoOnly,0.820775006033998,0.103855731172498,0.119197515441033,Endo,SPANXN2,213501,143934254,chrX,213501,-213502,intergenic,TRUE,LINE,L1,345
chrX_145393855,top1pcEndoOnly,0.544330220932359,0.0763599292921987,0.0734269295447449,Endo,SPANXN1,137646,145393855,chrX,146351,146352,intergenic,TRUE,LINE,L1,346
chrX_145459539,top1pcEndoOnly,0.780269627340389,0.0980740839758291,0.350724730153031,Endo,SPANXN1,203330,145459539,chrX,212035,212036,intergenic,FALSE,,,347
chrX_153892697,top1pcEndoOnly,0.657434454561011,0.00694827866725488,0.15327964297534,Endo,L1CAM,0,153892697,chrX,9833,-9834,intron,FALSE,,,348
chrX_154793630,top1pcEndoOnly,0.753237778184431,0.15396573964307,0.305171779186768,Endo,MPP1,0,154793630,chrX,18631,18632,promoter,FALSE,,,349
